Sequential # of First Verse in Pericope	# of Verses in Pericope	Canon Order	Heading	Verse Range
18802	21	1057	Sin, Confession and Redemption	ISA 59:1-21
18823	22	1058	The Glory of Zion	ISA 60:1-22
18845	11	1059	The Year of the LORD 's Favor	ISA 61:1-11
18856	12	1060	Zion's New Name	ISA 62:1-12
18868	6	1061	God's Day of Vengeance and Redemption	ISA 63:1-6
18874	25	1062	Praise and Prayer	ISA 63:7-64:12
18899	16	1063	Judgment and Salvation	ISA 65:1-16
18915	9	1064	New Heavens and a New Earth	ISA 65:17-25
18924	24	1065	Judgment and Hope	ISA 66:1-24
18948	19	1066	The Call of Jeremiah	JER 1:1-19
18967	42	1067	Israel Forsakes God	JER 2:1-3:5
19009	24	1068	Unfaithful Israel	JER 3:6-4:4
19033	27	1069	Disaster From the North	JER 4:5-31
19060	31	1070	Not One Is Upright	JER 5:1-31
19091	30	1071	Jerusalem Under Siege	JER 6:1-30
19121	29	1072	False Religion Worthless	JER 7:1-29
19150	8	1073	The Valley of Slaughter	JER 7:30-8:3
19158	45	1074	Sin and Punishment	JER 8:4-9:26
19203	16	1075	God and Idols	JER 10:1-16
19219	6	1076	Coming Destruction	JER 10:17-22
19225	3	1077	Jeremiah's Prayer	JER 10:23-25
19228	17	1078	The Covenant Is Broken	JER 11:1-17
19245	6	1079	Plot Against Jeremiah	JER 11:18-23
19251	4	1080	Jeremiah's Complaint	JER 12:1-4
19255	13	1081	God's Answer	JER 12:5-17
19268	11	1082	A Linen Belt	JER 13:1-11
19279	3	1083	Wineskins	JER 13:12-14
19282	13	1084	Threat of Captivity	JER 13:15-27
19295	43	1085	Drought, Famine, Sword	JER 14:1-15:21
19338	39	1086	Day of Disaster	JER 16:1-17:18
19377	9	1087	Keeping the Sabbath Holy	JER 17:19-27
19386	38	1088	At the Potter's House	JER 18:1-19:15
19424	6	1089	Jeremiah and Pashhur	JER 20:1-6
19430	12	1090	Jeremiah's Complaint	JER 20:7-18
19442	14	1091	God Rejects Zedekiah's Request	JER 21:1-14
19456	30	1092	Judgment Against Evil Kings	JER 22:1-30
19486	8	1093	The Righteous Branch	JER 23:1-8
19494	24	1094	Lying Prophets	JER 23:9-32
19518	8	1095	False Oracles and False Prophets	JER 23:33-40
19526	10	1096	Two Baskets of Figs	JER 24:1-10
19536	14	1097	Seventy Years of Captivity	JER 25:1-14
19550	24	1098	The Cup of God's Wrath	JER 25:15-38
19574	24	1099	Jeremiah Threatened With Death	JER 26:1-24
19598	22	1100	Judah to Serve Nebuchadnezzar	JER 27:1-22
19620	17	1101	The False Prophet Hananiah	JER 28:1-17
19637	23	1102	A Letter to the Exiles	JER 29:1-23
19660	9	1103	Message to Shemaiah	JER 29:24-32
19669	64	1104	Restoration of Israel	JER 30:1-31:40
19733	44	1105	Jeremiah Buys a Field	JER 32:1-44
19777	26	1106	Promise of Restoration	JER 33:1-26
19803	7	1107	Warning to Zedekiah	JER 34:1-7
19810	15	1108	Freedom for Slaves	JER 34:8-22
19825	19	1109	The Recabites	JER 35:1-19
19844	32	1110	Jehoiakim Burns Jeremiah's Scroll	JER 36:1-32
19876	21	1111	Jeremiah in Prison	JER 37:1-21
19897	13	1112	Jeremiah Thrown Into a Cistern	JER 38:1-13
19910	15	1113	Zedekiah Questions Jeremiah Again	JER 38:14-28
19925	18	1114	The Fall of Jerusalem	JER 39:1-18
19943	6	1115	Jeremiah Freed	JER 40:1-6
19949	25	1116	Gedaliah Assassinated	JER 40:7-41:15
19974	38	1117	Flight to Egypt	JER 41:16-43:13
20012	30	1118	Disaster Because of Idolatry	JER 44:1-30
20042	5	1119	A Message to Baruch	JER 45:1-5
20047	28	1120	A Message About Egypt	JER 46:1-28
20075	7	1121	A Message About the Philistines	JER 47:1-7
20082	47	1122	A Message About Moab	JER 48:1-47
20129	6	1123	A Message About Ammon	JER 49:1-6
20135	16	1124	A Message About Edom	JER 49:7-22
20151	5	1125	A Message About Damascus	JER 49:23-27
20156	6	1126	A Message About Kedar and Hazor	JER 49:28-33
20162	6	1127	A Message About Elam	JER 49:34-39
20168	110	1128	A Message About Babylon	JER 50:1-51:64
20278	30	1129	The Fall of Jerusalem	JER 52:1-30
20308	4	1130	Jehoiachin Released	JER 52:31-34
20312	22	1131	How Lonely Sits the City	LAM 1:1-22
20334	22	1132	The Lord Has Destroyed Without Pity	LAM 2:1-22
20356	66	1133	Great is Your Faithfulness	LAM 3:1-66
20422	22	1134	The Holy Stones Lie Scattered	LAM 4:1-22
20444	22	1135	Restore Us to Yourself, O Lord	LAM 5:1-22
20466	28	1136	The Living Creatures and the Glory of the Lord	EZEK 1:1-28
20494	25	1137	Ezekiel's Call	EZEK 2:1-3:15
20519	12	1138	Warning to Israel	EZEK 3:16-27
20531	34	1139	Siege of Jerusalem Symbolized	EZEK 4:1-5:17
20565	14	1140	A Prophecy Against the Mountains of Israel	EZEK 6:1-14
20579	27	1141	The End Has Come	EZEK 7:1-27
20606	18	1142	Idolatry in the Temple	EZEK 8:1-18
20624	11	1143	Idolaters Killed	EZEK 9:1-11
20635	22	1144	The Glory Departs From the Temple	EZEK 10:1-22
20657	15	1145	Judgment on Israel's Leaders	EZEK 11:1-15
20672	10	1146	Promised Return of Israel	EZEK 11:16-25
20682	28	1147	The Exile Symbolized	EZEK 12:1-28
20710	23	1148	False Prophets Condemned	EZEK 13:1-23
20733	11	1149	Idolaters Condemned	EZEK 14:1-11
20744	12	1150	Judgment Inescapable	EZEK 14:12-23
20756	8	1151	Jerusalem, A Useless Vine	EZEK 15:1-8
20764	63	1152	An Allegory of Unfaithful Jerusalem	EZEK 16:1-63
20827	24	1153	Two Eagles and a Vine	EZEK 17:1-24
20851	32	1154	The Soul Who Sins Will Die	EZEK 18:1-32
20883	14	1155	A Lament for Israel's Princes	EZEK 19:1-14
20897	29	1156	Rebellious Israel	EZEK 20:1-29
20926	15	1157	Judgment and Restoration	EZEK 20:30-44
20941	5	1158	Prophecy Against the South	EZEK 20:45-49
20946	32	1159	Babylon, God's Sword of Judgment	EZEK 21:1-32
20978	31	1160	Jerusalem's Sins	EZEK 22:1-31
21009	49	1161	Two Adulterous Sisters	EZEK 23:1-49
21058	14	1162	The Cooking Pot	EZEK 24:1-14
21072	13	1163	Ezekiel's Wife Dies	EZEK 24:15-27
21085	7	1164	A Prophecy Against Ammon	EZEK 25:1-7
21092	4	1165	A Prophecy Against Moab	EZEK 25:8-11
21096	3	1166	A Prophecy Against Edom	EZEK 25:12-14
21099	3	1167	A Prophecy Against Philistia	EZEK 25:15-17
21102	21	1168	A Prophecy Against Tyre	EZEK 26:1-21
21123	36	1169	A Lament for Tyre	EZEK 27:1-36
21159	19	1170	A Prophecy Against the King of Tyre	EZEK 28:1-19
21178	7	1171	A Prophecy Against Sidon	EZEK 28:20-26
21185	21	1172	A Prophecy Against Egypt	EZEK 29:1-21
21206	26	1173	A Lament for Egypt	EZEK 30:1-26
21232	18	1174	A Cedar in Lebanon	EZEK 31:1-18
21250	32	1175	A Lament for Pharaoh	EZEK 32:1-32
21282	20	1176	Ezekiel a Watchman	EZEK 33:1-20
21302	13	1177	Jerusalem's Fall Explained	EZEK 33:21-33
21315	31	1178	Shepherds and Sheep	EZEK 34:1-31
21346	15	1179	A Prophecy Against Edom	EZEK 35:1-15
21361	38	1180	A Prophecy to the Mountains of Israel	EZEK 36:1-38
21399	14	1181	The Valley of Dry Bones	EZEK 37:1-14
21413	14	1182	One Nation Under One King	EZEK 37:15-28
21427	52	1183	A Prophecy Against Gog	EZEK 38:1-39:29
21479	4	1184	The New Temple Area	EZEK 40:1-4
21483	12	1185	The East Gate to the Outer Court	EZEK 40:5-16
21495	3	1186	The Outer Court	EZEK 40:17-19
21498	4	1187	The North Gate	EZEK 40:20-23
21502	4	1188	The South Gate	EZEK 40:24-27
21506	10	1189	Gates to the Inner Court	EZEK 40:28-37
21516	6	1190	The Rooms for Preparing Sacrifices	EZEK 40:38-43
21522	4	1191	Rooms for the Priests	EZEK 40:44-47
21526	28	1192	The Temple	EZEK 40:48-41:26
21554	20	1193	Rooms for the Priests	EZEK 42:1-20
21574	12	1194	The Glory Returns to the Temple	EZEK 43:1-12
21586	15	1195	The Altar	EZEK 43:13-27
21601	31	1196	The Prince, the Levites, the Priests	EZEK 44:1-31
21632	12	1197	Division of the Land	EZEK 45:1-12
21644	37	1198	Offerings and Holy Days	EZEK 45:13-46:24
21681	12	1199	The River From the Temple	EZEK 47:1-12
21693	11	1200	The Boundaries of the Land	EZEK 47:13-23
21704	29	1201	The Division of the Land	EZEK 48:1-29
21733	6	1202	The Gates of the City	EZEK 48:30-35
21739	21	1203	Daniel's Training in Babylon	DAN 1:1-21
21760	23	1204	Nebuchadnezzar's Dream	DAN 2:1-23
21783	26	1205	Daniel Interprets the Dream	DAN 2:24-49
21809	30	1206	The Image of Gold and the Fiery Furnace	DAN 3:1-30
21839	18	1207	Nebuchadnezzar's Dream of a Tree	DAN 4:1-18
21857	9	1208	Daniel Interprets the Dream	DAN 4:19-27
21866	10	1209	The Dream Is Fulfilled	DAN 4:28-37
21876	31	1210	The Writing on the Wall	DAN 5:1-31
21907	28	1211	Daniel in the Den of Lions	DAN 6:1-28
21935	14	1212	Daniel's Dream of Four Beasts	DAN 7:1-14
21949	14	1213	The Interpretation of the Dream	DAN 7:15-28
21963	14	1214	Daniel's Vision of a Ram and a Goat	DAN 8:1-14
21977	13	1215	The Interpretation of the Vision	DAN 8:15-27
21990	19	1216	Daniel's Prayer	DAN 9:1-19
22009	8	1217	The Seventy ôSevensö	DAN 9:20-27
22017	22	1218	Daniel's Vision of a Man	DAN 10:1-11:1
22039	34	1219	The Kings of the South and the North	DAN 11:2-35
22073	10	1220	The King Who Exalts Himself	DAN 11:36-45
22083	13	1221	The End Times	DAN 12:1-13
22096	12	1222	Hosea's Wife and Children	HOSEA 1:1-2:1
22108	22	1223	Israel Punished and Restored	HOSEA 2:2-23
22130	5	1224	Hosea's Reconciliation With His Wife	HOSEA 3:1-5
22135	19	1225	The Charge Against Israel	HOSEA 4:1-19
22154	15	1226	Judgment Against Israel	HOSEA 5:1-15
22169	27	1227	Israel Unrepentant	HOSEA 6:1-7:16
22196	14	1228	Israel to Reap the Whirlwind	HOSEA 8:1-14
22210	32	1229	Punishment for Israel	HOSEA 9:1-10:15
22242	11	1230	God's Love for Israel	HOSEA 11:1-11
22253	15	1231	Israel's Sin	HOSEA 11:12-12:14
22268	16	1232	The Lord 's Anger Against Israel	HOSEA 13:1-16
22284	9	1233	Repentance to Bring Blessing	HOSEA 14:1-9
22293	12	1234	An Invasion of Locusts	JOEL 1:1-12
22305	8	1235	A Call to Repentance	JOEL 1:13-20
22313	11	1236	An Army of Locusts	JOEL 2:1-11
22324	6	1237	Rend Your Heart	JOEL 2:12-17
22330	10	1238	The LORD 's Answer	JOEL 2:18-27
22340	5	1239	The Day of the LORD	JOEL 2:28-32
22345	16	1240	The Nations Judged	JOEL 3:1-16
22361	5	1241	Blessings for God's People	JOEL 3:17-21
22366	20	1242	Judgment on Israel's Neighbors	AMOS 1:1-2:5
22386	11	1243	Judgment on Israel	AMOS 2:6-16
22397	15	1244	Witnesses Summoned Against Israel	AMOS 3:1-15
22412	13	1245	Israel Has Not Returned to God	AMOS 4:1-13
22425	17	1246	A Lament and Call to Repentance	AMOS 5:1-17
22442	10	1247	The Day of the LORD	AMOS 5:18-27
22452	7	1248	Woe to the Complacent	AMOS 6:1-7
22459	7	1249	The LORD Abhors the Pride of Israel	AMOS 6:8-14
22466	9	1250	Locusts, Fire and a Plumb Line	AMOS 7:1-9
22475	8	1251	Amos and Amaziah	AMOS 7:10-17
22483	14	1252	A Basket of Ripe Fruit	AMOS 8:1-14
22497	10	1253	Israel to Be Destroyed	AMOS 9:1-10
22507	5	1254	Israel's Restoration	AMOS 9:11-15
22512	21	1255	Edom Will Be Humbled	OBAD 1:1-21
22533	17	1256	Jonah Flees From the LORD	MICAH 1:1-17
22550	10	1257	Jonah's Prayer	MICAH 2:1-10
22560	10	1258	Jonah Goes to Nineveh	MICAH 3:1-10
22570	11	1259	Jonah's Anger at the Lord 's Compassion	MICAH 4:1-11
22581	7	1260	Judgment Against Samaria and Jerusalem	MICAH 1:1-7
22588	9	1261	Weeping and Mourning	MICAH 1:8-16
22597	5	1262	Man's Plans and God's	MICAH 2:1-5
22602	6	1263	False Prophets	MICAH 2:6-11
22608	2	1264	Deliverance Promised	MICAH 2:12-13
22610	12	1265	Leaders and Prophets Rebuked	MICAH 3:1-12
22622	13	1266	The Mountain of the LORD	MICAH 4:1-13
22635	5	1267	A Promised Ruler From Bethlehem	MICAH 5:1-5
22640	10	1268	Deliverance and Destruction	MICAH 5:6-15
22650	8	1269	The LORD 's Case Against Israel	MICAH 6:1-8
22658	8	1270	Israel's Guilt and Punishment	MICAH 6:9-16
22666	7	1271	Israel's Misery	MICAH 7:1-7
22673	6	1272	Israel Will Rise	MICAH 7:8-13
22679	7	1273	Prayer and Praise	MICAH 7:14-20
22686	15	1274	The Lord 's Anger Against Nineveh	HAB 1:1-15
22701	13	1275	Nineveh to Fall	HAB 2:1-13
22714	19	1276	Woe to Nineveh	HAB 3:1-19
22733	4	1277	Habakkuk's Complaint	HAB 1:1-4
22737	7	1278	The Lord 's Answer	HAB 1:5-11
22744	7	1279	Habakkuk's Second Complaint	HAB 1:12-2:1
22751	19	1280	The LORD 's Answer	HAB 2:2-20
22770	19	1281	Habakkuk's Prayer	HAB 3:1-19
22789	3	1282	Warning of Coming Destruction	ZEPH 1:1-3
22792	10	1283	Against Judah	ZEPH 1:4-13
22802	8	1284	The Great Day of the Lord	ZEPH 1:14-2:3
22810	4	1285	Against Philistia	ZEPH 2:4-7
22814	4	1286	Against Moab and Ammon	ZEPH 2:8-11
22818	1	1287	Against Cush	ZEPH 2:12-12
22819	3	1288	Against Assyria	ZEPH 2:13-15
22822	20	1289	The Future of Jerusalem	ZEPH 3:1-20
22842	15	1290	A Call to Build the House of the LORD	ZECH 1:1-15
22857	9	1291	The Promised Glory of the New House	ZECH 2:1-9
22866	10	1292	Blessings for a Defiled People	ZECH 2:10-19
22876	4	1293	Zerubbabel the LORD 's Signet Ring	ZECH 2:20-23
22880	17	1294	A Call to Return to the LORD	ZECH 1:1-17
22897	4	1295	Four Horns and Four Craftsmen	ZECH 1:18-21
22901	13	1296	A Man With a Measuring Line	ZECH 2:1-13
22914	10	1297	Clean Garments for the High Priest	ZECH 3:1-10
22924	14	1298	The Gold Lampstand and the Two Olive Trees	ZECH 4:1-14
22938	4	1299	The Flying Scroll	ZECH 5:1-4
22942	7	1300	The Woman in a Basket	ZECH 5:5-11
22949	8	1301	Four Chariots	ZECH 6:1-8
22957	7	1302	A Crown for Joshua	ZECH 6:9-15
22964	14	1303	Justice and Mercy, Not Fasting	ZECH 7:1-14
22978	23	1304	The LORD Promises to Bless Jerusalem	ZECH 8:1-23
23001	1	1305	Judgment on Israel's Enemies	ZECH 9:1-1
23002	7	1306	An Oracle	ZECH 9:2-8
23009	5	1307	The Coming of Zion's King	ZECH 9:9-13
23014	4	1308	The LORD Will Appear	ZECH 9:14-17
23018	15	1309	The LORD Will Care for Judah	ZECH 10:1-11:3
23033	14	1310	Two Shepherds	ZECH 11:4-17
23047	1	1311	Jerusalem's Enemies to Be Destroyed	ZECH 12:1-1
23048	8	1312	An Oracle	ZECH 12:2-9
23056	5	1313	Mourning for the One They Pierced	ZECH 12:10-14
23061	6	1314	Cleansing From Sin	ZECH 13:1-6
23067	3	1315	The Shepherd Struck, the Sheep Scattered	ZECH 13:7-9
23070	21	1316	The LORD Comes and Reigns	ZECH 14:1-21
23091	5	1317	Jacob Loved, Esau Hated	MAL 1:1-5
23096	9	1318	Blemished Sacrifices	MAL 1:6-14
23105	9	1319	Admonition for the Priests	MAL 2:1-9
23114	7	1320	Judah Unfaithful	MAL 2:10-16
23121	6	1321	The Day of Judgment	MAL 2:17-3:5
23127	13	1322	Robbing God	MAL 3:6-18
23140	6	1323	The Day of the LORD	MAL 4:1-6
23146	17	1324	The Genealogy of Jesus	MATT 1:1-17
23163	8	1325	The Birth of Jesus Christ	MATT 1:18-25
23171	12	1326	The Visit of the Magi	MATT 2:1-12
23183	6	1327	The Escape to Egypt	MATT 2:13-18
23189	5	1328	The Return to Nazareth	MATT 2:19-23
23194	12	1329	John the Baptist Prepares the Way	MATT 3:1-12
23206	5	1330	The Baptism of Jesus	MATT 3:13-17
23211	11	1331	The Temptation of Jesus	MATT 4:1-11
23222	6	1332	Jesus Begins to Preach	MATT 4:12-17
23228	5	1333	The Calling of the First Disciples	MATT 4:18-22
23233	3	1334	Jesus Heals the Sick	MATT 4:23-25
23236	12	1335	The Beatitudes	MATT 5:1-12
23248	4	1336	Salt and Light	MATT 5:13-16
23252	4	1337	The Fulfillment of the Law	MATT 5:17-20
23256	6	1338	Murder	MATT 5:21-26
23262	4	1339	Adultery	MATT 5:27-30
23266	2	1340	Divorce	MATT 5:31-32
23268	5	1341	Oaths	MATT 5:33-37
23273	5	1342	An Eye for an Eye	MATT 5:38-42
23278	6	1343	Love for Enemies	MATT 5:43-48
23284	4	1344	Giving to the Needy	MATT 6:1-4
23288	11	1345	Prayer	MATT 6:5-15
23299	3	1346	Fasting	MATT 6:16-18
23302	6	1347	Treasures in Heaven	MATT 6:19-24
23308	10	1348	Do Not Worry	MATT 6:25-34
23318	6	1349	Judging Others	MATT 7:1-6
23324	6	1350	Ask, Seek, Knock	MATT 7:7-12
23330	2	1351	The Narrow and Wide Gates	MATT 7:13-14
23332	9	1352	A Tree and Its Fruit	MATT 7:15-23
23341	6	1353	The Wise and Foolish Builders	MATT 7:24-29
23347	4	1354	The Man With Leprosy	MATT 8:1-4
23351	9	1355	The Faith of the Centurion	MATT 8:5-13
23360	4	1356	Jesus Heals Many	MATT 8:14-17
23364	5	1357	The Cost of Following Jesus	MATT 8:18-22
23369	5	1358	Jesus Calms the Storm	MATT 8:23-27
23374	7	1359	The Healing of Two Demon-possessed Men	MATT 8:28-34
23381	8	1360	Jesus Heals a Paralytic	MATT 9:1-8
23389	5	1361	The Calling of Matthew	MATT 9:9-13
23394	4	1362	Jesus Questioned About Fasting	MATT 9:14-17
23398	9	1363	A Dead Girl and a Sick Woman	MATT 9:18-26
23407	8	1364	Jesus Heals the Blind and Mute	MATT 9:27-34
23415	4	1365	The Workers Are Few	MATT 9:35-38
23419	42	1366	Jesus Sends Out the Twelve	MATT 10:1-42
23461	19	1367	Jesus and John the Baptist	MATT 11:1-19
23480	5	1368	Woe on Unrepentant Cities	MATT 11:20-24
23485	6	1369	Rest for the Weary	MATT 11:25-30
23491	14	1370	Lord of the Sabbath	MATT 12:1-14
23505	7	1371	God's Chosen Servant	MATT 12:15-21
23512	16	1372	Jesus and Beelzebub	MATT 12:22-37
23528	8	1373	The Sign of Jonah	MATT 12:38-45
23536	5	1374	Jesus' Mother and Brothers	MATT 12:46-50
23541	23	1375	The Parable of the Sower	MATT 13:1-23
23564	7	1376	The Parable of the Weeds	MATT 13:24-30
23571	5	1377	The Parables of the Mustard Seed and the Yeast	MATT 13:31-35
23576	8	1378	The Parable of the Weeds Explained	MATT 13:36-43
23584	3	1379	The Parables of the Hidden Treasure and the Pearl	MATT 13:44-46
23587	6	1380	The Parable of the Net	MATT 13:47-52
23593	6	1381	A Prophet Without Honor	MATT 13:53-58
23599	12	1382	John the Baptist Beheaded	MATT 14:1-12
23611	9	1383	Jesus Feeds the Five Thousand	MATT 14:13-21
23620	15	1384	Jesus Walks on the Water	MATT 14:22-36
23635	28	1385	Clean and Unclean	MATT 15:1-28
23663	11	1386	Jesus Feeds the Four Thousand	MATT 15:29-39
23674	4	1387	The Demand for a Sign	MATT 16:1-4
23678	8	1388	The Yeast of the Pharisees and Sadducees	MATT 16:5-12
23686	8	1389	Peter's Confession of Christ	MATT 16:13-20
23694	8	1390	Jesus Predicts His Death	MATT 16:21-28
23702	13	1391	The Transfiguration	MATT 17:1-13
23715	10	1392	The Healing of a Boy With a Demon	MATT 17:14-23
23725	4	1393	The Temple Tax	MATT 17:24-27
23729	9	1394	The Greatest in the Kingdom of Heaven	MATT 18:1-9
23738	5	1395	The Parable of the Lost Sheep	MATT 18:10-14
23743	6	1396	A Brother Who Sins Against You	MATT 18:15-20
23749	15	1397	The Parable of the Unmerciful Servant	MATT 18:21-35
23764	15	1398	Divorce	MATT 19:1-15
23779	15	1399	The Rich Young Man	MATT 19:16-30
23794	16	1400	The Parable of the Workers in the Vineyard	MATT 20:1-16
23810	3	1401	Jesus Again Predicts His Death	MATT 20:17-19
23813	9	1402	A Mother's Request	MATT 20:20-28
23822	6	1403	Two Blind Men Receive Sight	MATT 20:29-34
23828	11	1404	The Triumphal Entry	MATT 21:1-11
23839	6	1405	Jesus at the Temple	MATT 21:12-17
23845	5	1406	The Fig Tree Withers	MATT 21:18-22
23850	5	1407	The Authority of Jesus Questioned	MATT 21:23-27
23855	5	1408	The Parable of the Two Sons	MATT 21:28-32
23860	14	1409	The Parable of the Tenants	MATT 21:33-46
23874	14	1410	The Parable of the Wedding Banquet	MATT 22:1-14
23888	8	1411	Paying Taxes to Caesar	MATT 22:15-22
23896	11	1412	Marriage at the Resurrection	MATT 22:23-33
23907	7	1413	The Greatest Commandment	MATT 22:34-40
23914	6	1414	Whose Son Is the Christ	MATT 22:41-46
23920	39	1415	Seven Woes	MATT 23:1-39
23959	35	1416	Signs of the End of the Age	MATT 24:1-35
23994	16	1417	The Day and Hour Unknown	MATT 24:36-51
24010	13	1418	The Parable of the Ten Virgins	MATT 25:1-13
24023	17	1419	The Parable of the Talents	MATT 25:14-30
24040	16	1420	The Sheep and the Goats	MATT 25:31-46
24056	5	1421	The Plot Against Jesus	MATT 26:1-5
24061	8	1422	Jesus Anointed at Bethany	MATT 26:6-13
24069	3	1423	Judas Agrees to Betray Jesus	MATT 26:14-16
24072	14	1424	The Lord's Supper	MATT 26:17-30
24086	5	1425	Jesus Predicts Peter's Denial	MATT 26:31-35
24091	11	1426	Gethsemane	MATT 26:36-46
24102	10	1427	Jesus Arrested	MATT 26:47-56
24112	12	1428	Before the Sanhedrin	MATT 26:57-68
24124	7	1429	Peter Disowns Jesus	MATT 26:69-75
24131	10	1430	Judas Hangs Himself	MATT 27:1-10
24141	16	1431	Jesus Before Pilate	MATT 27:11-26
24157	5	1432	The Soldiers Mock Jesus	MATT 27:27-31
24162	13	1433	The Crucifixion	MATT 27:32-44
24175	12	1434	The Death of Jesus	MATT 27:45-56
24187	5	1435	The Burial of Jesus	MATT 27:57-61
24192	5	1436	The Guard at the Tomb	MATT 27:62-66
24197	10	1437	The Resurrection	MATT 28:1-10
24207	5	1438	The Guards' Report	MATT 28:11-15
24212	5	1439	The Great Commission	MATT 28:16-20
24217	8	1440	John the Baptist Prepares the Way	MARK 1:1-8
24225	5	1441	The Baptism and Temptation of Jesus	MARK 1:9-13
24230	7	1442	The Calling of the First Disciples	MARK 1:14-20
24237	8	1443	Jesus Drives Out an Evil Spirit	MARK 1:21-28
24245	6	1444	Jesus Heals Many	MARK 1:29-34
24251	5	1445	Jesus Prays in a Solitary Place	MARK 1:35-39
24256	6	1446	A Man With Leprosy	MARK 1:40-45
24262	12	1447	Jesus Heals a Paralytic	MARK 2:1-12
24274	5	1448	The Calling of Levi	MARK 2:13-17
24279	5	1449	Jesus Questioned About Fasting	MARK 2:18-22
24284	12	1450	Lord of the Sabbath	MARK 2:23-3:6
24296	6	1451	Crowds Follow Jesus	MARK 3:7-12
24302	7	1452	The Appointing of the Twelve Apostles	MARK 3:13-19
24309	11	1453	Jesus and Beelzebub	MARK 3:20-30
24320	5	1454	Jesus' Mother and Brothers	MARK 3:31-35
24325	20	1455	The Parable of the Sower	MARK 4:1-20
24345	5	1456	A Lamp on a Stand	MARK 4:21-25
24350	4	1457	The Parable of the Growing Seed	MARK 4:26-29
24354	5	1458	The Parable of the Mustard Seed	MARK 4:30-34
24359	7	1459	Jesus Calms the Storm	MARK 4:35-41
24366	20	1460	The Healing of a Demon-possessed Man	MARK 5:1-20
24386	23	1461	A Dead Girl and a Sick Woman	MARK 5:21-43
24409	6	1462	A Prophet Without Honor	MARK 6:1-6
24415	7	1463	Jesus Sends Out the Twelve	MARK 6:7-13
24422	16	1464	John the Baptist Beheaded	MARK 6:14-29
24438	15	1465	Jesus Feeds the Five Thousand	MARK 6:30-44
24453	12	1466	Jesus Walks on the Water	MARK 6:45-56
24465	23	1467	Clean and Unclean	MARK 7:1-23
24488	7	1468	The Faith of a Syrophoenician Woman	MARK 7:24-30
24495	7	1469	The Healing of a Deaf and Mute Man	MARK 7:31-37
24502	13	1470	Jesus Feeds the Four Thousand	MARK 8:1-13
24515	8	1471	The Yeast of the Pharisees and Herod	MARK 8:14-21
24523	5	1472	The Healing of a Blind Man at Bethsaida	MARK 8:22-26
24528	4	1473	Peter's Confession of Christ	MARK 8:27-30
24532	9	1474	Jesus Predicts His Death	MARK 8:31-9:1
24541	12	1475	The Transfiguration	MARK 9:2-13
24553	19	1476	The Healing of a Boy with an Evil Spirit	MARK 9:14-32
24572	5	1477	Who is Greatest?	MARK 9:33-37
24577	4	1478	Whoever Is Not Against Us Is for Us	MARK 9:38-41
24581	9	1479	Causing to Sin	MARK 9:42-50
24590	12	1480	Divorce	MARK 10:1-12
24602	4	1481	The Little Children and Jesus	MARK 10:13-16
24606	15	1482	The Rich Young Man	MARK 10:17-31
24621	3	1483	Jesus Again Predicts His Death	MARK 10:32-34
24624	11	1484	The Request of James and John	MARK 10:35-45
24635	7	1485	Blind Bartimaeus Receives His Sight	MARK 10:46-52
24642	11	1486	The Triumphal Entry	MARK 11:1-11
24653	8	1487	Jesus Clears the Temple	MARK 11:12-19
24661	7	1488	The Withered Fig Tree	MARK 11:20-26
24668	7	1489	The Authority of Jesus Questioned	MARK 11:27-33
24675	12	1490	The Parable of the Tenants	MARK 12:1-12
24687	5	1491	Paying Taxes to Caesar	MARK 12:13-17
24692	10	1492	Marriage at the Resurrection	MARK 12:18-27
24702	7	1493	The Greatest Commandment	MARK 12:28-34
24709	6	1494	Whose Son Is the Christ	MARK 12:35-40
24715	4	1495	The Widow's Offering	MARK 12:41-44
24719	31	1496	Signs of the End of the Age	MARK 13:1-31
24750	6	1497	The Day and Hour Unknown	MARK 13:32-37
24756	11	1498	Jesus Anointed at Bethany	MARK 14:1-11
24767	15	1499	The Lord's Supper	MARK 14:12-26
24782	5	1500	Jesus Predicts Peter's Denial	MARK 14:27-31
24787	11	1501	Gethsemane	MARK 14:32-42
24798	10	1502	Jesus Arrested	MARK 14:43-52
24808	13	1503	Before the Sanhedrin	MARK 14:53-65
24821	7	1504	Peter Disowns Jesus	MARK 14:66-72
24828	15	1505	Jesus Before Pilate	MARK 15:1-15
24843	5	1506	The Soldiers Mock Jesus	MARK 15:16-20
24848	12	1507	The Crucifixion	MARK 15:21-32
24860	9	1508	The Death of Jesus	MARK 15:33-41
24869	6	1509	The Burial of Jesus	MARK 15:42-47
24875	8	1510	The Resurrection	MARK 16:1-8
24883	12	1511	((The most reliable early manuscripts and other ancient witnesses do not have Mark 16:9-20.))	MARK 16:9-20
24895	4	1512	Introduction	LUKE 1:1-4
24899	21	1513	The Birth of John the Baptist Foretold	LUKE 1:5-25
24920	13	1514	The Birth of Jesus Foretold	LUKE 1:26-38
24933	7	1515	Mary Visits Elizabeth	LUKE 1:39-45
24940	11	1516	Mary's Song	LUKE 1:46-56
24951	10	1517	The Birth of John the Baptist	LUKE 1:57-66
24961	14	1518	Zechariah's Song	LUKE 1:67-80
24975	7	1519	The Birth of Jesus	LUKE 2:1-7
24982	13	1520	The Shepherds and the Angels	LUKE 2:8-20
24995	20	1521	Jesus Presented in the Temple	LUKE 2:21-40
