Sequential # of First Verse in Pericope	# of Verses in Pericope	Canon Order	Heading	Verse Range
14727	7	824	For the director of music. With stringed instruments. Amaskil of David. When the Ziphites had gone to Saul and said, ôIs not David hiding among us?ö	PS 54:1-7
14734	23	825	For the director of music. With stringed instruments. Amaskil of David.	PS 55:1-23
14757	13	826	For the director of music. To the tune of ôA Dove on Distant Oaks.ö Of David. A miktam . When the Philistines had seized him in Gath.	PS 56:1-13
14770	11	827	For the director of music. To the tune of ôDo Not Destroy.ö Of David. A miktam . When he had fled from Saul into the cave.	PS 57:1-11
14781	11	828	For the director of music. To the tune of ôDo Not Destroy.ö Of David. A miktam .	PS 58:1-11
14792	17	829	For the director of music. To the tune of ôDo Not Destroy.ö Of David. A miktam . When Saul had sent men to watch David's house in order to kill him.	PS 59:1-17
14809	12	830	For the director of music. To the tune of ôThe Lily of the Covenant.ö A miktam of David. For teaching. When he fought Aram Naharaim and Aram Zobah, and when Joab returned and struck down twelve thousand Edomites in the Valley of Salt.	PS 60:1-12
14821	8	831	For the director of music. With stringed instruments. Of David.	PS 61:1-8
14829	12	832	For the director of music. For Jeduthun. A psalm of David.	PS 62:1-12
14841	11	833	A psalm of David. When he was in the Desert of Judah.	PS 63:1-11
14852	10	834	For the director of music. A psalm of David.	PS 64:1-10
14862	13	835	For the director of music. A psalm of David. A song.	PS 65:1-13
14875	20	836	For the director of music. A song. A psalm.	PS 66:1-20
14895	7	837	For the director of music. With stringed instruments. A psalm. A song.	PS 67:1-7
14902	35	838	For the director of music. Of David. A psalm. A song.	PS 68:1-35
14937	36	839	For the director of music. To the tune of ôLilies.ö Of David.	PS 69:1-36
14973	29	840	For the director of music. Of David. A petition.	PS 70:1-71:24
15002	20	841	Of Solomon.	PS 72:1-20
15022	28	842	BOOK III -- Psalms 73-89	PS 73:1-28
15050	23	843	A maskil of Asaph.	PS 74:1-23
15073	10	844	For the director of music. To the tune of ôDo Not Destroy.ö A psalm of Asaph. A song.	PS 75:1-10
15083	12	845	For the director of music. With stringed instruments. A psalm of Asaph. A song.	PS 76:1-12
15095	20	846	For the director of music. For Jeduthun. Of Asaph. A psalm.	PS 77:1-20
15115	72	847	A maskil of Asaph.	PS 78:1-72
15187	13	848	A psalm of Asaph.	PS 79:1-13
15200	19	849	For the director of music. To the tune of ôThe Lilies of the Covenant.ö Of Asaph. A psalm.	PS 80:1-19
15219	16	850	For the director of music. According to gittith. Of Asaph.	PS 81:1-16
15235	8	851	A psalm of Asaph.	PS 82:1-8
15243	18	852	A song. A psalm of Asaph.	PS 83:1-18
15261	12	853	For the director of music. According to gittith. Of the Sons of Korah. A psalm.	PS 84:1-12
15273	13	854	For the director of music. Of the Sons of Korah. A psalm.	PS 85:1-13
15286	17	855	A prayer of David.	PS 86:1-17
15303	7	856	Of the Sons of Korah. A psalm. A song.	PS 87:1-7
15310	18	857	A song. A psalm of the Sons of Korah. For the director of music. According to mahalath leannoth. A maskil &lt;footnote rnd=297381782 idx=1 &gt; Title: Probably a literary or musical term &lt;/footnote&gt; of Heman the Ezrahite.	PS 88:1-18
15328	52	858	A maskil of Ethan the Ezrahite.	PS 89:1-52
15380	33	859	BOOK IV Psalms 90-106	PS 90:1-91:16
15413	79	860	A psalm. A song. For the Sabbath day.	PS 92:1-97:12
15492	18	861	A psalm.	PS 98:1-99:9
15510	5	862	A psalm. For giving thanks.	PS 100:1-5
15515	8	863	Of David. A psalm.	PS 101:1-8
15523	28	864	A prayer of an afflicted man. When he is faint and pours out his lament before the LORD .	PS 102:1-28
15551	150	865	Of David.	PS 103:1-106:48
15701	43	866	BOOK V Psalms 107-150	PS 107:1-43
15744	13	867	A song. A psalm of David.	PS 108:1-13
15757	31	868	For the director of music. Of David. A psalm.	PS 109:1-31
15788	112	869	Of David. A psalm.	PS 110:1-118:29
15900	8	870	Aleph	PS 119:1-8
15908	8	871	b Beth	PS 119:9-16
15916	8	872	g Gimel	PS 119:17-24
15924	8	873	d Daleth	PS 119:25-32
15932	8	874	h He	PS 119:33-40
15940	8	875	w Waw	PS 119:41-48
15948	8	876	z Zayin	PS 119:49-56
15956	8	877	x Heth	PS 119:57-64
15964	8	878	X Teth	PS 119:65-72
15972	8	879	y Yodh	PS 119:73-80
15980	8	880	k Kaph	PS 119:81-88
15988	88	881	l Lamedh	PS 119:89-176
16076	7	882	A song of ascents.	PS 120:1-7
16083	8	883	A song of ascents.	PS 121:1-8
16091	9	884	A song of ascents. Of David.	PS 122:1-9
16100	4	885	A song of ascents.	PS 123:1-4
16104	8	886	A song of ascents. Of David.	PS 124:1-8
16112	5	887	A song of ascents.	PS 125:1-5
16117	6	888	A song of ascents.	PS 126:1-6
16123	5	889	A song of ascents. Of Solomon.	PS 127:1-5
16128	6	890	A song of ascents.	PS 128:1-6
